batchId,itemId,title,currentSourceUrl,currentVerdict,currentRecommendedAction,targetFitBeforeResearch,searchTermsTried,candidateSourceUrl,candidateApplicationUrl,sourceQuality,targetFitAfterResearch,confidence,replacementRecommendation,evidenceText,futureLaneCandidate,reviewerNotes,shouldUserReview,priority
001,cmn2111jv001esb1197ufjp8u,Northwell Health System,https://international.northwell.edu/consulting-advisory-services,LIKELY_WRONG_PAGE,WRONG_PAGE_REPLACE,TARGET_USCE_MATCH,site:northwell.edu international observership IMG visiting,https://international.northwell.edu/center-for-global-health,,OFFICIAL_DEPARTMENT_PAGE_WITH_USCE_TEXT,MAYBE_TARGET_MANUAL_REVIEW,LOW,NEEDS_MORE_RESEARCH,"site:northwell.edu surfaced consulting/advisory (current wrong page), Lenox Hill International Health, Center for Global Health, and Feinstein visiting-scientists. No single canonical international observership landing page on Northwell. Suggest manual contact via International Services.",,Current URL is genuinely wrong (consulting page). No clean replacement on northwell.edu — needs human dig or direct contact.,true,3
001,cmo33855r000t1ny9mcguc1mn,UCLA Health International Physician Observership,https://www.uclahealth.org/international-services/consulting-education-services/medical-education-training/physicians/physician-observerships,LIKELY_WRONG_PAGE,WRONG_PAGE_REPLACE,TARGET_USCE_MATCH,site:uclahealth.org international physician observership program,https://www.uclahealth.org/international-services/medical-education-training/physicians/physician-observerships,,EXACT_OFFICIAL_PROGRAM_PAGE,TARGET_USCE_MATCH,HIGH,KEEP_CURRENT_SOURCE,"Current URL IS the canonical UCLA International Physician Observership page. The 'consulting-education-services' slug triggered the heuristic wrong-page hint, but the page itself is the program landing. Verified: '...informal observational experience that enables participants to observe...'",,"False positive in P96-2 classifier — flag the heuristic, not the URL.",false,4
001,cmn2111mt001msb11fzpzozyu,UCLA Medical Center,https://www.uclahealth.org/international-services/medical-education-training/physicians/physician-observerships,LIKELY_WRONG_PAGE,WRONG_PAGE_REPLACE,TARGET_USCE_MATCH,site:uclahealth.org international physician observership program,https://www.uclahealth.org/international-services/medical-education-training/physicians/physician-observerships,,EXACT_OFFICIAL_PROGRAM_PAGE,TARGET_USCE_MATCH,HIGH,KEEP_CURRENT_SOURCE,Same URL as the prior UCLA listing — canonical program page.,,Possibly a duplicate of the UCLA Health International Physician Observership row; consider DUPLICATE_OR_REPLACED.,false,4
001,cmn2114240076sb11zfiteqrx,Clinical Experience Programs (CEP) — IMG Rotations,https://clinicalexperienceprograms.com/,GENERIC_HOMEPAGE,SOURCE_DEAD_REVIEW,TARGET_USCE_MATCH,"""clinicalexperienceprograms.com"" CEP IMG rotations review legitimate",,,NO_BETTER_SOURCE_FOUND,MAYBE_TARGET_MANUAL_REVIEW,LOW,NEEDS_MORE_RESEARCH,"Could not independently verify clinicalexperienceprograms.com legitimacy via web search. Compare against AMOpportunities, IMGPrep, IMG Helping Hands which are referenced as established providers.",third_party_usce_brokers,Third-party USCE broker — needs manual due-diligence pass before keep/discard.,true,3
001,cmn2111qh001wsb111gq2cngn,UC Irvine Medical Center,https://www.ucihealth.org/,GENERIC_HOMEPAGE,SOURCE_DEAD_REVIEW,TARGET_USCE_MATCH,site:ucihealth.org international observership IMG visiting medical student,,,NO_BETTER_SOURCE_FOUND,MAYBE_TARGET_MANUAL_REVIEW,LOW,NEEDS_MORE_RESEARCH,UCI Health 'Irvine Clinical Experience' explicitly excludes international students without SSN. No dedicated UCI School of Medicine visiting student / observership landing page surfaced for IMGs.,,May not actually offer USCE relevant to IMGs; consider DISCARD if confirmed.,true,3
001,cmn21146x007ksb11nksfya8i,Albert Einstein College of Medicine — Research Fellowship,https://einsteinmed.edu/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,MAYBE_TARGET_MANUAL_REVIEW,(doctrine reclassified — research path is real for IMGs but low-priority),https://einsteinmed.edu/,,OFFICIAL_GENERIC_PAGE,MAYBE_TARGET_MANUAL_REVIEW,LOW,KEEP_WITH_CAVEAT,"Albert Einstein Research Fellowship: postdoctoral research positions for MD/MBBS graduates. IMGs typically work on clinical research, outcomes research, or health services research. J1 visa sponsorship usually available through the institution. Most positions found through cold-emailing faculty PIs — not centrally posted. Keep on the wedge as a low-priority secondary path, flagged with this caveat.",research_track_secondary,Low confidence: no central program listing exists; applicants must cold-email faculty PIs directly. Surface caveat on the listing rather than discarding.,true,3
001,cmn21145j007gsb11ba86v05m,Baylor College of Medicine — Postdoctoral Research,https://www.bcm.edu/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,MAYBE_TARGET_MANUAL_REVIEW,(doctrine reclassified — research path is real for IMGs but low-priority),https://www.bcm.edu/,,OFFICIAL_GENERIC_PAGE,MAYBE_TARGET_MANUAL_REVIEW,LOW,KEEP_WITH_CAVEAT,"Baylor Postdoctoral Research: postdoctoral research positions for MD/MBBS graduates. IMGs typically work on clinical research, outcomes research, or health services research. J1 visa sponsorship usually available through the institution. Most positions found through cold-emailing faculty PIs — not centrally posted. Keep on the wedge as a low-priority secondary path, flagged with this caveat.",research_track_secondary,Low confidence: no central program listing exists; applicants must cold-email faculty PIs directly. Surface caveat on the listing rather than discarding.,true,3
001,cmn2113vx006wsb11k7c4vies,Emory University — Postdoctoral Research,https://www.ecfmg.org/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,MAYBE_TARGET_MANUAL_REVIEW,(doctrine reclassified — research path is real for IMGs but low-priority),https://www.ecfmg.org/,,OFFICIAL_GENERIC_PAGE,MAYBE_TARGET_MANUAL_REVIEW,LOW,KEEP_WITH_CAVEAT,"Emory Postdoctoral Research: postdoctoral research positions for MD/MBBS graduates. IMGs typically work on clinical research, outcomes research, or health services research. J1 visa sponsorship usually available through the institution. Most positions found through cold-emailing faculty PIs — not centrally posted. Keep on the wedge as a low-priority secondary path, flagged with this caveat.",research_track_secondary,Low confidence: no central program listing exists; applicants must cold-email faculty PIs directly. Surface caveat on the listing rather than discarding.,true,3
001,cmn2113qn006isb11ed3rrmyv,Harvard Medical School — Research Fellowship,https://postdoc.hms.harvard.edu/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,MAYBE_TARGET_MANUAL_REVIEW,(doctrine reclassified — research path is real for IMGs but low-priority),https://postdoc.hms.harvard.edu/,,OFFICIAL_GENERIC_PAGE,MAYBE_TARGET_MANUAL_REVIEW,LOW,KEEP_WITH_CAVEAT,"Harvard Research Fellowship: postdoctoral research positions for MD/MBBS graduates. IMGs typically work on clinical research, outcomes research, or health services research. J1 visa sponsorship usually available through the institution. Most positions found through cold-emailing faculty PIs — not centrally posted. Keep on the wedge as a low-priority secondary path, flagged with this caveat.",research_track_secondary,Low confidence: no central program listing exists; applicants must cold-email faculty PIs directly. Surface caveat on the listing rather than discarding.,true,3
001,cmn2113pw006gsb115grg3340,Mayo Clinic — Research Fellowship,https://college.mayo.edu/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,MAYBE_TARGET_MANUAL_REVIEW,(doctrine reclassified — research path is real for IMGs but low-priority),https://college.mayo.edu/,,OFFICIAL_GENERIC_PAGE,MAYBE_TARGET_MANUAL_REVIEW,LOW,KEEP_WITH_CAVEAT,"Mayo Research Fellowship: postdoctoral research positions for MD/MBBS graduates. IMGs typically work on clinical research, outcomes research, or health services research. J1 visa sponsorship usually available through the institution. Most positions found through cold-emailing faculty PIs — not centrally posted. Keep on the wedge as a low-priority secondary path, flagged with this caveat.",research_track_secondary,Low confidence: no central program listing exists; applicants must cold-email faculty PIs directly. Surface caveat on the listing rather than discarding.,true,3
