seedId,institutionId,institutionName,parentSystem,campus,city,state,sourceUrl,sourceDomain,expectedAudience,expectedOpportunityType,expectedSpecialty,expectedCampus,expectedDirectLink,knownGoodReason,priorEvidenceRef,notes,runStatus,finalStatus
reorient_001,inst_live_maimonides_medical_center,Maimonides Medical Center,Maimonides Health,,Brooklyn,NY,https://maimo.org/medical-education/internships-undergraduate-medical-education/,maimo.org,BOTH_STUDENT_AND_IMG_GRADUATE,CLINICAL_ELECTIVE,,Maimonides Medical Center,true,Replacement for dead maimonides.org/gme/ — WebSearch + WebFetch confirmed,2026-05-16 WebSearch,New domain maimo.org; offers elective rotations to 4th year medical students,PENDING,PENDING
reorient_002,inst_live_loyola_university_medical_center,Loyola University Medical Center,Loyola Medicine,,Maywood,IL,https://www.luc.edu/stritch/regrec/students/visitingstudents/,luc.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Loyola University Medical Center,true,Replacement for dead ssom.luc.edu/gme/ — VSLO visiting students page,2026-05-16 WebSearch,LCME/COCA students via VSLO,PENDING,PENDING
reorient_003,inst_live_loyola_international,Loyola University Medical Center International,Loyola Medicine,,Maywood,IL,https://www.luc.edu/stritch/regrec/students/visitingstudents/internationalstudents/,luc.edu,INTERNATIONAL_MEDICAL_STUDENT,INTERNATIONAL_VISITING_STUDENT,,Loyola University Medical Center,true,New INTL row for Loyola; max 4-week electives,2026-05-16 WebSearch,International students 4-week electives,PENDING,PENDING
reorient_004,inst_live_uf_health_shands,University of Florida Health / Shands Hospital,UF Health,,Gainesville,FL,https://osa.med.ufl.edu/students/visiting-medical-student-clerkships/,osa.med.ufl.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Shands Hospital,true,Replacement for dead hr.med.ufl.edu/volunteers/onserving (typo) — Office of Student Affairs is the current page,2026-05-16 WebSearch,VSLO-based VMS program,PENDING,PENDING
reorient_005,inst_live_uf_health_intl,University of Florida Health / Shands Hospital — International,UF Health,,Gainesville,FL,https://osa.med.ufl.edu/students/visiting-medical-student-clerkships/international-visiting-student-program/,osa.med.ufl.edu,INTERNATIONAL_MEDICAL_STUDENT,INTERNATIONAL_VISITING_STUDENT,,Shands Hospital,true,New INTL row for UF Health,2026-05-16 WebSearch,International visiting student program,PENDING,PENDING
reorient_006,inst_live_upmc,UPMC (University of Pittsburgh Medical Center),UPMC,,Pittsburgh,PA,https://www.medstudentaffairs.pitt.edu/visiting-students,medstudentaffairs.pitt.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,UPMC,true,Replacement for dead dom.pitt.edu/education/eop/ — Office of Student Affairs visiting students page,2026-05-16 WebSearch,Visiting students through Office of Student Affairs,PENDING,PENDING
reorient_007,inst_live_upmc_intl,UPMC — International Visiting Student Program,UPMC,,Pittsburgh,PA,https://www.researchprograms.medschool.pitt.edu/international-visiting-student-program,researchprograms.medschool.pitt.edu,INTERNATIONAL_MEDICAL_STUDENT,INTERNATIONAL_VISITING_STUDENT,,UPMC,true,New INTL row for UPMC,2026-05-16 WebSearch,Final-year international medical students,PENDING,PENDING
reorient_008,inst_live_upmc_intl_clinical,UPMC International — Clinical Collaborations,UPMC,,Pittsburgh,PA,https://www.upmc.com/about/international-services/clinical-collaborations,upmc.com,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,,UPMC,true,New IMG row for UPMC International Services,2026-05-16 WebSearch,Clinical collaborations and training programs,PENDING,PENDING
reorient_009,inst_live_cleveland_clinic_research,Cleveland Clinic — Research Fellowship,Cleveland Clinic,,Cleveland,OH,https://www.lerner.ccf.org/education/postdoctoral-program/,lerner.ccf.org,IMG_GRADUATE_OBSERVER,OTHER_USCE,,Cleveland Clinic Lerner Research Institute,true,Replacement for dead my.clevelandclinic.org postdoctoral path — Lerner is the actual research institute,2026-05-16 WebSearch,Postdoctoral program for PhD or MD,PENDING,PENDING
reorient_010,inst_live_cedars_sinai_research,Cedars-Sinai — Research Fellowship,Cedars-Sinai,,Los Angeles,CA,https://www.cedars-sinai.edu/education/professional-training-programs/postdoctoral-scientist-program.html,cedars-sinai.edu,IMG_GRADUATE_OBSERVER,OTHER_USCE,,Cedars-Sinai Medical Center,true,Replacement for dead /research/training/postdoctoral.html — new path is /education/professional-training-programs/,2026-05-16 WebSearch,Postdoctoral Scientist Program,PENDING,PENDING
